cae:akandasamutTita,32:akandasamutTita:n:
cae:aBrAvakAMSin,2508:{aBrAvakAMSin}1{aBrAvakAM°Sin}:{aBrAvakASin}1{aBrAvakA°Sin}:p: the anusvAra may be print smudge. cf MW, PWG
cae:amarzip,2554:{amarzip}1{ama°rzip}:{amarzin}1{ama°rzin}:p: cf CCS, mw, pw. The 'p' appears to be print error.
cae:amitavikram,2578:amitavikrama:p:  cf MW, VCP.  Presume the virAma a print error
cae:amitravinibarhin,2584:amitravinibarhin:n:
cae:amftakalpa,2610:amftakalpa:n:
cae:amftavarti,2618:amftavarti:n:
cae:ambucArim,2651:ambucArin:p:  cf mw. 
cae:ambuDArA,2654:ambuDArA:n:
cae:ayatnalaBya,2681:ayatnalaBya:n:
cae:ayAjyayAjaMna,2703:ayAjyayAjana:t:
cae:aramaRIyatva,2761:aramaRIyatva:n:
cae:arAgadezatas,2771:arAgadvezatas:t:  print smudged
cae:arAjanyaprasUti,2775:arAjanyaprasUti:n:
cae:arAjyaBAj,2777:arAjyaBAj:n:
cae:arisevin,2803:arisevin:n:
cae:arGyodaka,2838:arGyodaka:n:
cae:arTakalyavarta,2858:arTakalyavarta:n:
cae:arTyukta,2896:arTyukta:n:
cae:arDavAcita,2922:arDavAcita:n:
cae:alaMkaraRaratna,2974:alaMkaraRaratna:n:
cae:alaMkArakArin,2979:alaMkArakArin:n:
cae:alIkadAkziRya,3016:alIkadAkziRya:n:
cae:alIkanirbanDa,3017:alIkanirbanDa:n:
cae:alpadroha,3043:alpadroha:n:
cae:alpAyAsa,3059:alpAyAsa:n:
cae:avakfzwajAti,3078:avakfzwajAti:n:
cae:avagatArTa,3087:avagatArTa:n:  not in text
cae:avaDyaBAva,3139:avaDyaBAva:n:
cae:avayavavirUpaka,3178:avayavavirUpaka:n: variant of avayavarUpaka
cae:avaSaka,3209:avaSaka:n: same as avaSa; variant avaSikA in AP
cae:avAcyavAda,3267:avAcyavAda:n:
cae:avikftya,3285:avikftya:n:
cae:aviDAya,3324:aviDAya:n:
cae:avItarAga,3395:avItarAga:n:
cae:aSanAyApipAsA,3463:aSanAyApipAsA:n:
cae:aSuciBakzaRa,3498:aSuciBakzaRa:n:
cae:azAlha,3590:{azAlha}1{a3zAlha}:{azA|a}1{a3zA|a}:t: variant of azAQa
cae:azwarasASaya,3599:azwarasASraya:t:
cae:asaMSavaRe,3625:asaMSravaRe:t:
cae:asaMSave,3626:{asaMSave}1{asaM°Save}:{asaMSrave}1{asaM°Srave}:t:
cae:asaktAtman,3638:asaktAtman:n:
cae:asatkAryaparigraha,3659:asatkAryaparigraha:n:
cae:asamudrotTita,3705:asamudrotTita:n:
cae:asametya,3708:asametya:n:
cae:asaMpUrRamanoraTa,3712:asaMpUrRamanoraTa:n:
cae:asaMbadDapralApin,3716:asaMbadDapralApin:n:
cae:asaMbadDamanoraTa,3717:asaMbadDamanoraTa:n:
cae:asayatAtman,3619:asaMyatAtman:p: print missing anusvAra
cae:asuraDarma,3786:asuraDarma:n:
cae:asuvarRa,3792:asuvarRa:n:
cae:asusTita,3795:asusTita:n: variant of asusTa
cae:asTisaMsTa,3855:asTisaMsTa:n:
cae:asvasTacetasa,3896:asvasTacetasa:n:
cae:ahva,3946:ahna:t:
cae:AgarBanirgama,4043:AgarBanirgama:n:
cae:AjuhvAna,4095:AjuhvAna:n:
cae:AttadaRqa,4134:AttadaRqa:n:
cae:AttaDanvan,4135:AttaDanvan:n:
cae:AttaSastra,4136:AttaSastra:n:
cae:AtmacCandAnucArin,4143:AtmacCandAnucArin:n:
cae:Atmatulya,4148:Atmatulya:n:
cae:AtmapradAna,4158:AtmapradAna:n: = AtmadAna
cae:AtmaSeyas,4181:AtmaSreyas:t:
cae:AtmasaMsidDi,4182:AtmasaMsidDi:n:
cae:AdAnanitya,4211:AdAnanitya:n:
cae:AdigDA,4216:AdigDa:t:  print smudge
cae:Adityacandra,4222:Adityacandra:n:
cae:Adityavarcas,4225:Adityavarcas:n:
cae:AdityasaMkASa,4227:AdityasaMkASa:n:
cae:ABakta,4381:ABakta:n:
cae:ABaraRasvAna,4384:ABaraRasTAna:t: print smudge
cae:AmAvAsva,4422:AmAvAsya:t:  cf mw.
cae:AmiSa,4424:AmiSra:t:
cae:AyAsakara,4467:AyAsakara:n:  variant AyAsaka
cae:AyAsada,4468:AyAsada:n:  variant AyAsaka, Might be AyAsad ?
cae:AyAsayitf,4469:AyAsayitf:n: = ccs AyAsayitar
cae:ArdrapAda,4552:ArdrapAda:n:
cae:AryajAta,4563:AryajAta:n:
cae:AryamiSa,4570:AryamiSra:t:
cae:AryavidagDamiSa,4575:AryavidagDamiSra:t:
cae:AryADUtA,4579:AryADUtA:n:
cae:AlAnastamBa,4604:AlAnastamBa:n:
cae:ASAtantu,4706:ASAtantu:n:
cae:ASApASa,4708:ASApASa:n:
cae:ASApratIkzA,4709:ASApratIkzA:n:
cae:ASIvizopama,4731:ASIvizopama:n:
cae:Asanodaka,4789:Asanodaka:n:
cae:Asavakaraka,4798:Asavakaraka:n:
cae:AsuraniScaya,4810:AsuraniScaya:n:
cae:AsPoWa,4833:AsPowa:t:  cf MW, PW, etc.; cae has sPowa
cae:AsraRa,4838:Asrasta:t: print obscure
cae:AhAradAna,4854:AhAradAna:n:
cae:AhirbunDa,4861:AhirbunDa:n: ? possible print error for buDna. = AhirbuDya
cae:itaretarAnurAga,4912:itaretarAnurAga:n:
cae:indraputra,4965:indraputra:n:
cae:iriRasTa,5027:iriRasTa:n:
cae:izvastrakarman,5072:izvastrakarman:n:
cae:ILitf,5096:ILitf:n: variant of Iqitf
cae:ILeRya,5098:ILeRya:n: variant of IqeRya = mw Iqenya
cae:IqeRya,5097:IqeRya:n: = MW Iqenya  (is IqeRya an error?)
cae:IriRasTa,5112:IriRasTa:n: ?
cae:IhAvanta,5147:IhAvanta:n: SCH has IHAvant
cae:uktamAtra,5157:uktamAtra:n:
cae:uccasaMSaya,5189:uccasaMSraya:t:
cae:uccAsana,5194:uccAsana:n:
cae:utkaRWABAgin,5278:utkaRWABAgin:n:
cae:utkampita,5282:utkampita:n: variant utkampana
cae:uttamavida,5323:uttamavida:n: = uttamavid
cae:uttaraNgin,5333:uttaraNgin:n:
cae:uttaravedI,5346:uttaravedI:n: variant of uttaravedi
cae:utTabDa,5313:{utTabDa}1{u3tTabDa}:{uttabDa}1{u3ttabDa}:p: cf MW; alphabetical order
cae:utTaBita,5314:{utTaBita}1{u3tTaBita}:{uttaBita}1{u3ttaBita}:p: cf MW; alphabetical order ; variant of uttabDa
cae:utpiMzwa,5402:utpiMzwa:n: = MW utpizwa.  
cae:utsAhayitf,5424:utsAhayitf:n:
cae:udaSu,5498:udaSru:t:
cae:udAraSIla,5507:udAraSIla:n:
cae:udAharana,5509:udAharana:n:
cae:udIrana,5519:udIraRa:t:
cae:udUQA,5524:udUQA:n:
cae:udDuta,5571:udDuta:n: = mw udDUta
cae:udDUmAyM,5575:udDUmAy:p:  
cae:udyAnagahana,5607:udyAnagahana:n:
cae:udyAnavAwa,5610:udyAnavAwa:n:
cae:udvignodvigna,5626:udvignodvigna:n:
cae:unmagna,5646:unmagna:n:
cae:unmiSa,5661:unmiSra:t:
cae:upaBomya,5782:upaBogya:t:  print smeared
cae:upamantrana,5784:upamantraRa:p: cf. MW
cae:upahvata,5911:upahUta:t:  difficult to distinguish 'hU' and 'hv' in Devanagari
cae:upAlamBanIya,5945:upAlamBanIya:n:
cae:upASita,5949:upASrita:t:
cae:upASitya,5950:upASritya:t:
cae:upoQatapas,5966:upoQatapas:n:
cae:upoQarAga,5968:upoQarAga:n:
cae:upoQaSabda,5969:upoQaSabda:n:
cae:urogata,6018:urogata:n:
cae:urvaSIsuta,6025:urvaSIsuta:n:
cae:uSAna,6061:uSAna:n: variant of uSant
cae:uzwwa,6074:{uzwwa}1{u3zwwa}:{uzwf}1{u3zwf}:t: 
cae:uzRakawuka,6081:uzRakawuka:n:
cae:uzRadIrGam,6082:uzRadIrGam:n:
cae:UrDvagamanvant,6153:UrDvagamanavant:t:
cae:UrDvamUlA,6174:UrDvamUla:p:  Since adjective, ends in 'a', not 'A'.  cf MW
cae:Uzarakzetra,6198:Uzarakzetra:n:
cae:fgyajuz,6228:fgyajuz:n: ? = mw fgyajuza, fgyajus
cae:ftIzAh,6291:ftIzAh:n: variant of ftIzah
cae:ekamAzaka,6417:ekamAzaka:n:
cae:ekalocana,6436:ekalocana:n:
cae:ekAdaSaguRa,6485:ekAdaSaguRa:n: Why not 'gaRa' ?
cae:ekAntasADya,6498:ekAntasADya:n:
cae:ekAnnadin,6501:ekAnnAdin:t:
cae:etavE,6552:etavE:n: variant of etave, infintive of 'i'
cae:evA,6581:evA:n:  variant of eva
cae:eh,6615:eha:t:
cae:EkaSutya,6620:EkaSrutya:t:
cae:EtareyavrAhmana,6638:EtareyabrAhmana:t:
cae:Edaparya,6642:EdaMparya:t: cf mw
cae:odanamaya,6701:odanamaya:n:
cae:oDaDipati,6717:ozaDipati:p:  alph. order, cf mw
cae:OpanizaDa,6773:OpanizaDa:n:
cae:kaMsaSatrO,6817:kaMsaSatru:t:
cae:katiDa,6917:katiDa:n:
cae:katipayAhasya,6922:katipayAhasya:n:
cae:kattA,6924:kattA:n:
cae:kadambapuzpatva,6950:kadambapuzpatva:n:
cae:kadalIgfha,6957:kadalIgfha:n:
cae:kanakAjja,6969:kanakAjja:n: ?
cae:kandarpajanana,6988:kandarpajanana:n:
cae:kanyakABAva,6998:kanyakABAva:n:
cae:kapawakApawika,7010:kapawakApawika:n:
cae:kapAlakuRqalA,7021:kapAlakuRqalA:n:
cae:kamaRqalUdaka,7053:kamaRqalUdaka:n:
cae:kamalAy,7062:kamalAy:n:  verb
cae:kamalinIdala,7064:kamalinIdala:n:
cae:karavIradAma,7111:karavIradAma:n:
cae:karketaraka,7143:karketaraka:n:  = karketara of WIL
cae:karmajaMnyatA,7215:karmajanyatA:p: Hard to read, anusvAra may be print smudge. cf mw.
cae:kalAvida,7295:kalAvida:n: = kalAvid of mw, pw
cae:kalASeza,7296:kalASeza:n:
cae:kaliNgadeSa,7302:kaliNgadeSa:n:
cae:kavalayAnanda,8104:kuvalayAnanda:p: alph. order, cf. mw
cae:kAkapadamastaSIrzaka,7403:kAkapadamastaSIrzaka:n:
cae:kAkAya,7407:kAkAy:t: verb
cae:kAkiRInI,7409:{kAkiRInI}1{kAkiRI++°nI}:{kAkinI}1{kAki°nI}:t: variant expansion error
cae:kAYcanakalaSa,7425:kAYcanakalaSa:n:
cae:kAdambari,7464:kAdambarI:t:
cae:kAnyakujja,7478:kAnyakujja:n: ?  could be mis-spelling of kAnyakuYja of WIL
cae:kAmarAga,7522:kAmarAga:n:
cae:kAmpilaka,7552:kAmpilaka:n: variant of kAmpila
cae:kArukAnna,7589:kArukAnna:n:
cae:kAryaniDAna,7616:kAryaniDAna:n:
cae:kAryaSezaYja,7627:kAryaSezajYa:t:
cae:kArzapaRa,7643:kArzApaRa:t:
cae:kAlapakvaBuj,7675:kAlapakvaBuj:n:
cae:kAlapASasTita,7680:kAlapASasTita:n:
cae:kiMkartavyamUQatA,7764:kiMkartavyamUQatA:n:
cae:kiMpuruzaparvata,7791:kiMpuruzaparvata:n:
cae:kiyadadButa,7799:kiyadadButa:n:
cae:kIrtinASana,7851:kIrtinASana:n:
cae:kIrtiBaj,7852:kIrtiBaj:n:
cae:kuwwinIputra,7909:kuwwinIputra:n:
cae:kuRqinanagara,7930:kuRqinanagara:n:
cae:kuRqinapura,7931:kuRqinapura:n:
cae:kubjakagulma,7971:kubjakagulma:n:
cae:kumBIlaka,8013:kumBIlaka:n:
cae:kulanASaka,8050:kulanASaka:n:
cae:kulapra,7932:kutapa:p: alph. order, cf mw,pw
cae:kuvalayAkzi,8103:kuvalayAkzi:n: variant of kuvalayanayanA
cae:kusumAQya,8161:kusumAQya:n:
cae:kUwapAla,8193:kUwapAla:n:
cae:kftaviSezaka,8289:kftaviSezaka:n:
cae:kftAvaguRWana,8309:kftAvaguRWana:n:
cae:kftsnakarmakft,8335:kftsnakarmakft:n:
cae:ketanajuz,8421:ketanajuz:n:
cae:kesaramAlikA,8470:kesaramAlikA:n:
cae:kesaravfkza,8471:kesaravfkza:n:
cae:kesarAvalA,8474:kesarAvalA:n:
cae:kopAnubanDa,8502:kopAnubanDa:n:
cae:koSarakzina,8518:koSarakzin:p:  cf mw, pw. (virAma missing)
cae:koSarAzwra,8519:koSarAzwra:n:
cae:kOmArabrata,8555:kOmAravrata:t:
cae:kOzItakibrAhyaRa,8590:kOzItakibrAhmaRa:p:   Print shows hy, should be hm
cae:kravisa,8643:{kravisa}1{kravi3sa}:{kravis}1{kravi3s}:p: missing virAma. cf mw, pw, etc.
cae:kriyAramBa,8663:kriyAramBa:n:
cae:kriyASaya,8671:kriyASraya:t:
cae:krIqAmAtra,8683:krIqAmAtra:n:
cae:kzattfjAti,8779:kzattfjAti:n:
cae:kzitiDaraguru,8855:kzitiDaraguru:n:
cae:kzIroDi,8898:kzIroDi:n: variant of kzIroda
cae:kzumya,8921:kzumpa:t:  print poor.  cf mw, pw
cae:kzvaNkA,8997:{kzvaNkA}1{kzva3NkA}:{kzviNkA}1{kzvi3NkA}:t:
cae:KaramayUka,9063:KaramayUKa:p: cf. ccs, mw, pw
cae:gaganANgana,9159:gaganANgana:n:
cae:gajayUTapa,9170:gajayUTapa:n:
cae:gaRaSI,9192:gaRaSrI:t:
cae:gaRikAdArikA,9196:gaRikAdArikA:n:
cae:gaRikApravahana,9198:gaRikApravahana:n:
cae:gaRva,9211:{gaRva}1{ga3Rva}:{gaRya}1{ga3Rya}:t:  poor print. cf ccs, mw
cae:gatayOvayas,9223:gatayOvayas:n: variant gatayOvana
cae:gatipaTa,9236:gatipaTa:n:
cae:gartASaya,9325:gartASraya:t:
cae:galaguhA,9367:galaguhA:n:
cae:guRadozajYa,9535:guRadozajYa:n:
cae:guruBakti,9595:guruBakti:n: variant of gurupUjA
cae:gurusuta,9604:gurusuta:n:
cae:gfhada,9671:gfhada:n:
cae:gfhItaDanu,9701:gfhItaDanu:n:
cae:gotranAmABijanatas,9748:gotranAmABijAnatas:t:
cae:gopAladAraka,9778:gopAladAraka:n:
cae:gobIjakAnana,9789:gobIjakAnana:n:
cae:grAmayAjika,9916:grAmayAjika:n:
cae:grIzmamayUrI,9941:grIzmamayUrI:n:
cae:GarmAnt,10013:GarmAnta:t:
cae:GozaRasTAna,10098:GozaRasTAna:n:
cae:cakorarAkza,10119:{cakorarAkza}1{cakora°rAkza}:{cakorAkza}1{cako°rAkza}:t: variant of cakoranetra. cakora+akza
cae:cakrarakzin,10126:cakrarakzin:n: variant of cakrarakza
cae:cakrANkita,10136:cakrANkita:n:
cae:catuHsahatra,10267:{catuHsahatra}1{ca3tuHsahatra}:{catuHsahasra}1{ca3tuHsahasra}:t:
cae:catuHsOvarRika,10268:catuHsOvarRika:n:
cae:caturTakala,10213:caturTakAla:t:
cae:candraniBAnanA,10298:candraniBAnanA:n:
cae:candraviSudDa,10314:candraviSudDa:n:
cae:camUgati,10337:camUgati:n:
cae:cAritrAvaSeza,10465:cAritrAvaSeza:n:
cae:cikitvaMs,10493:cikitvaMs:n:  = mw cikitvas. Note ccs may also have 'M' ?
cae:citraPalakagata,10550:citraPalakagata:n:
cae:cihva,10618:cihna:t:
cae:cihvay,10619:cihnay:t:
cae:cUqApIqa,10655:cUqApIqa:n:
cae:cElavat,10713:cElavat:n:
cae:colamaRqana,10729:colamaRqala:p:  cf. ccs, mw, pw. maRqala
cae:CAyAtapa,10822:CAyAtapa:n:
cae:Cinnapaca,10844:{Cinnapaca}1{Cinna3paca}:{Cinnapakza}1{Cinna3pakza}:p: print hard to read. cf mw, pw. pakza = wing
cae:CinnasaSaya,10846:CinnasaMSaya:t:
cae:jagatIgata,10877:jagatIgata:n:
cae:jaqisan,10951:jaqiman:p: cf ccs, mw, etc
cae:janmalABa,11024:janmalABa:n:
cae:jamadagri,11044:{jamadagri}1{jama3dagri}:{jamadagni}1{jama3dagni}:t:
cae:jayaprepsu,11071:jayaprepsu:n:
cae:jayaSI,11075:jayaSrI:t:
cae:jalAvaseka,11167:jalAvaseka:n:
cae:jAmbUnadasaya,11297:jAmbUnadamaya:p: cf mw, pw
cae:jAhvava,11332:jAhnava:t:
cae:jAhvavIya,11333:jAhnavIya:t:
cae:jIrRadevAyatana,11394:jIrRadevAyatana:n:
cae:jIrRAraRya,11396:jIrRAraRya:n:
cae:jIrRodyana,11398:jIrRodyAna:t:
cae:jEhvaya,11519:jEhvya:t:
cae:jYahnusutA,11212:jahnusutA:p: variant of jahnukanyA
cae:jYAnasaNga,11558:jYAnasaNga:n:
cae:jYAnAsi,11561:jYAnAsi:n:
cae:jYIps,11570:jYIps:n: verb, maybe desiderative of jYA
cae:jYuBAD,11573:{jYuBAD}1{jYuBA3D}:{jYubAD}1{jYubA3D}:t:
cae:jyAGozA,11584:jyAGozA:n:
cae:jyEzWaya,11606:jyEzWya:t:
cae:qimBalIlA,11712:qimBalIlA:n:
cae:ququmaquRquBa,11718:{ququmaquRquBa}1{ququma & quRquBa}:{ququma}1{ququma} & quRquBa :t:
cae:taLitas,11764:taLitas:n:
cae:tatkAlavedin,11791:tatkAlavedin:n:
cae:tatprayojaka,11817:tatprayojaka:n:
cae:tatsahAya,11828:tatsahAya:n:
cae:tadaBimuKam,11853:tadaBimuKam:n:
cae:tadASrayin,11865:tadASrayin:n:
cae:tadyukta,11880:tadyukta:n:
cae:tadvaktf,11883:tadvaktf:n:
cae:tantrIsvana,11940:tantrIsvana:n:
cae:tanmAMsAda,11952:tanmAMsAda:n:
cae:tapomaDya,11988:tapomaDya:n:
cae:tarivAra,12057:tarivAra:n:
cae:talaGoza,12107:talaGoza:n:
cae:tirohvaya,12339:{tirohvaya}1{tiro'hvaya}:{tirohnya}1{tiro'hnya}:t:
cae:tilakaBUta,12356:tilakaBUta:n:
cae:tiladroRa,12359:tiladroRa:n:
cae:tilaprada,12365:tilaprada:n:
cae:tilamiSa,12367:{tilamiSa}1{tila3miSa}:{tilamiSra}1{tila3miSra}:t:
cae:tiliNgadeSa,12374:tiliNgadeSa:n:
cae:tIrTamfttikA,12408:tIrTamfttikA:n:
cae:tulyapaBAva,12498:tulyapraBAva:p: print unclear. cf. SCH.; praBAva = dignity
cae:tulyaBAmya,12499:tulyaBAgya:t:
cae:tulyaSIlatA,12502:tulyaSIlatA:n:
cae:tulyArimitratA,12505:tulyArimitratA:n:
cae:tuzAgri,12530:tuzAgni:t:
cae:tuzwaprakfti,12544:tuzwaprakfti:n:
cae:tEttirIyin,12686:tEttirIyin:n:
cae:todra,12712:toda:p:  cf. ccs, mw, etc; alph. order/.
cae:tripAWina,12874:tripAWin:p:  virAma missing; cf. ccs, mw, pw, etc.
cae:TUrv,13112:TUrv:n:  verb. = mw Turv.  Is TUrv acceptable?
cae:daMsasa,13131:{daMsasa}1{da3Msasa}:{daMsas}1{da3Msas}:t:
cae:daRqakAla,13189:daRqakAla:n:  ?
cae:daRqanigaqa,13201:daRqanigaqa:n:
cae:daRqaSUra,13223:daRqaSUra:n:
cae:daRqAy,13228:daRqAy:n:
cae:darparja,13362:darparja:n:
cae:daSadinmuKa,13420:daSadiNmuKa:t:
cae:daSasvarRa,13451:daSasvarRa:n:
cae:daSonAsa,13469:daSonAsa:n:
cae:dAtavE,13503:{dAtavE}1{dA3tavĖ}:{dAtavE}1{dA3tavE3}:t: accent error; variant of dAtave; verb form of dA
cae:diNgATa,13667:diNnATa:t: cf ccs, mw, pw
cae:diNgAga,13666:diNnAga:t: cf ccs, mw, pw, etc.  
cae:divAsaketa,13737:divAsaMketa:t:
cae:divyAstra,13770:divyAstra:n:
cae:dIdivas,13794:dIdivas:n: ? may have anusvAra. dIdivaMs
cae:dIdyuz,13795:dIdyuz:n:
cae:dIDyat,13800:dIDyat:n:
cae:dIrGaniHSvAsa,13835:dIrGaniHSvAsa:n:
cae:duHKAlaya,13881:duHKAlaya:n:
cae:duraBisaNga,13913:duraBisaNga:n:
cae:durhArda,14148:durhArda:n:
cae:duScAritrin,14166:{duScAritrin}1{duScArit°rin}:{duScArin}1{duScA°rin}:t:  variant of duScAritra
cae:dUrake,14260:dUrake:n: loc. of dUraka
cae:dUrvAcatvara,14293:dUrvAcatvara:n:
cae:dUzyaganDin,14305:dUzyaganDin:n:
cae:dfQaDAnvin,14320:{dfQaDAnvin}1{dfQa°DAnvin}:{dfQaDanvin}1{dfQa°Danvin}:t: variant of dfQaDAnvan
cae:devIBU,14542:devIBU:n:
cae:dravyadAtf,14781:dravyadAtf:n:
cae:dravyASita,14789:dravyASrita:t:
cae:dvAtriMSallakzaRikzaRopeta,14863:{dvAtriMSallakzaRikzaRopeta}1{dvAtriMSallakzaRi°kzaRopeta}:{dvAtriMSallakzaRikzaRopeta}1{dvAtriMSalla°kzaRopeta}:t:
cae:dvijaDarmin,14922:dvijaDarmin:n:
cae:dvijavatsala,14927:dvijavatsala:n:
cae:dvijaSezWa,14929:{dvijaSezWa}1{dvija°SezWa}:{dvijaSrezWa}1{dvija°SrezWa}:t:
cae:dvijAgryArcA,14933:dvijAgryArcA:n:
cae:dvimAsAdi,14971:dvimAsAdi:n:
cae:dvizadanna,15001:dvizadanna:n:
cae:dvizadAyus,15002:dvizadAyus:n:
cae:DanurDarDArin,15118:{DanurDarDArin}1{DanurDa°rDArin}:{DanurDArin}1{Danur°DArin}:t:
cae:DarmasvarUpin,15260:DarmasvarUpin:n:
cae:DAnyamiSa,15346:DAnyamiSra:t:
cae:DAnyArDa,15350:DAnyArDa:n:
cae:DArANgura,15375:DArANgura:n:
cae:DArASu,15383:DArASru:t:
cae:DenvaRquha,15562:Denvanaquha:t:
cae:DyAnapawaha,15591:DyAnapawaha:n:
cae:natANgA,15747:natANgA:n:
cae:naBaHspfSa,15821:naBaHspfSa:n:
cae:navadas,16009:{navadas}1{na3vadas}:{navedas}1{na3vedas}:p:  cf. mw under naveda.
cae:nazwasalila,16024:nazwasalila:n:
cae:nAgojiBawwa,16089:nAgojiBawwa:n: variant of nAgoji. Prob.= nAgojIBawwa of ACC, AP
cae:nAnyagAmin,16155:nAnyagAmin:n:
cae:nAnyacetas,16156:nAnyacetas:n:
cae:nigaqapUrita,16309:nigaqapUrita:n:
cae:nitambabatI,16357:nitambavatI:t:
cae:nityakta,16371:nityakta:n:
cae:nityatfpta,16373:nityatfpta:n:
cae:nindArha,16436:nindArha:n:
cae:nirjihU,16682:nirjihva:t:
cae:nirRAnaka,16693:nirRAnaka:n:
cae:nirDuta,16723:nirDuta:n: = nirDUta (cf. MW, cae)
cae:nirnAsa,16733:nirnAsa:n:
cae:nirvarvin,16809:nirvarvin:n:
cae:nirvARayitf,16819:nirvARayitf:n:
cae:nirvARayitfka,16820:nirvARayitfka:n:
cae:nirvApayitfka,16828:nirvApayitfka:n:
cae:nizyandin,17126:nizyandin:n:
cae:nizzAh,17103:nizzAh:n:
cae:nihvava,17164:nihnava:t:
cae:nihvuta,17165:nihnuta:t:
cae:nihvuti,17166:nihnuti:t:
cae:nItikuSalajYa,17179:{nItikuSalajYa}1{nItikuSala°jYa}:{nItijYa}1{nIti°jYa}:t:
cae:nfvIra,17299:nfvIra:n:
cae:nEHsTa,17414:nEHsvya:p:  cf. CCS, MW, PW. Also, alph. order
cae:nyahva,17457:{nyahva}1{nya3hva}:{nyahna}1{nya3hna}:t:
cae:paYcatantraka,17547:paYcatantraka:n: variant of paYcatantra
cae:paYcavakta,17586:paYcavaktra:t:
cae:pawaYcara,17637:pawaccara:t:  print blurred
cae:patAkAMSuMka,17737:patAkAMSuka:p:  anusvAra over 'u' wrong. cf ccs, mw, pw
cae:patijuzWa,17745:patijuzwa:p:  cf. ccs, pwg.  cae also has juzwa
